<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Calamos S&P 500 Structured Alt Protection ETF No,CPSN,20260109,26.96,26.99,26.96,26.99,5500
Calamos S&P 500 Structured Alt Protection ETF Oc,CPSO,20260109,27.15,27.15,27.15,27.15,0
Calamos S&P 500 Structured Alt Protection ETF Ap,CPSP,20260109,26.12,26.12,26.12,26.12,0
Calamos S&P 500 Structured Alt Protection ETF MA,CPSR,20260109,25.26,25.26,25.26,25.26,100
Calamos S&P 500 Structured Alt Protection ETF Se,CPST,20260109,27.11,27.11,27.11,27.11,100
Calamos S&P 500 Structured Alt Prot ETF June,CPSU,20260109,27.1001,27.145,27.1,27.145,1700
Calamos S&P 500 Structured Alt Protection ETF JA,CPSY,20260109,25.2,25.2,25.16,25.2,13300
Uscf Daily Target 2X Copper Index ETF,CPXR,20260109,28.42,28.63,28.2,28.28,73800
China Technology Invesco ETF,CQQQ,20260109,56.43,56.45,55.91,56.35,997600
Vaneck Oil Refiners ETF,CRAK,20260109,39.44,39.44,39,39.1,111100
ACWI Low Carbon Target Ishares MSCI ETF,CRBN,20260109,235.35,236.42,235.04,235.81,6600
Proshares Trust Proshares Ultra Crcl,CRCA,20260109,4.24,4.4801,3.9814,4.34,8875800
T-Rex 2X Inverse Crcl Daily Target ETF,CRCD,20260109,31.52,33.19,29.64,30.55,76500
Yieldmax Crcl Option Income Strategy ETF,CRCO,20260109,24.5,25.12,23.79,24.719,37100
Simplify Opportunistic Income ETF,CRDT,20260109,23.6,23.65,23.52,23.55,274200
Tradr 2X Long Crdo Daily ETF,CRDU,20260109,15.08,17.6199,14.791,16.2,1159300
Columbia Research Enhanced Real Estate ETF,CRED,20260109,20.1708,20.1708,20.1708,20.1708,100
Cornerstone Strategic Return Fund,CRF,20260109,8.09,8.09,8.05,8.07,842000
FT Skybridge Crypto Industry and Digital Economy,CRPT,20260109,17.14,17.14,16.3338,16.51,50000
Yieldmax Short Tsla Option Income Strategy ETF,CRSH,20260109,25.97,26.25,25.33,25.51,27800
Dbx US National Critical Technologies ETF,CRTC,20260109,37.56,37.7599,37.52,37.6741,8900
T-Rex 2X Long Crwv Daily Target ETF,CRWU,20260109,5.94,6.405,5.53,6.21,2355500
Columbia Core Plus Bond ETF,CRXP,20260109,20.145,20.155,20.145,20.155,100
S&P Spin-Off Invesco ETF,CSD,20260109,108.295,109.143,108.295,109.143,600
Tradr 2X Long Cls Daily ETF,CSEX,20260109,16.79,18.19,16.63,17.86,148400
Neos Enhanced Income 1-3 Month T-Bill ETF,CSHI,20260109,49.77,49.78,49.75,49.77,236700
Blackrock Enhanced Short-Term Bond ETF,CSHP,20260109,99.08,99.09,99.0601,99.09,300
C&S Infrastructure Opportunities Active ETF,CSIO,20260109,25.2621,25.2621,25.2621,25.2621,100
Largecap Core Plus ETF FT,CSM,20260109,80.32,80.81,80.32,80.7014,54900
Professionally Congress Smid Growth ETF,CSMD,20260109,33.07,33.47,33.06,33.35,75600
Cohen & Steers Natural Resources Active ETF,CSNR,20260109,32,32.0746,31.96,32.03,5700
Cohen & Steers Preferred and Income Opportunitie,CSPF,20260109,26.11,26.19,26.11,26.1205,17300
Cohen & Steers Real Estate Active ETF,CSRE,20260109,25.7,25.88,25.7,25.8,139900
C&S Short Duration Preferred and Income Active E,CSSD,20260109,25.2299,25.2299,25.215,25.215,4300
Invesco Comstock Contrarian Equity ETF,CSTK,20260109,29.91,29.95,29.91,29.9238,300
Simplify Managed Futures Strategy,CTA,20260109,27.77,28.03,27.7065,27.84,639200
Simplify US Equity Plus Managed Futures Strategy,CTAP,20260109,26.41,26.74,26.35,26.64,7000
Castellan Targeted Equity ETF,CTEF,20260109,68.89,69.6279,68.89,69.6279,400
Proshares S&P Kensho Cleantech ETF,CTEX,20260109,36.92,37.318,36.82,37.318,1800
Contango Ore Inc,CTGO,20260109,26.27,26.87,25.96,25.99,202200
Castellan Targeted Income ETF,CTIF,20260109,52.2,52.2,52.1542,52.1542,100
Castellum Inc,CTM,20260109,1.07,1.08,1.04,1.06,1653100
Cotwo Advisors Physical European Carbon Allowanc,CTWO,20260109,19.85,19.975,19.85,19.975,100
Healthcare Bull 3X ETF Direxion,CURE,20260109,118.62,119.8099,116.4,116.46,48800
MSCI Global Timber Invesco ETF,CUT,20260109,29.95,30.3845,29.781,30.3845,3900
ETF Opp Cultivar ETF,CVAR,20260109,29.35,29.35,29.3148,29.3148,100
Calvert International Responsible Index ETF,CVIE,20260109,73.46,73.82,73.27,73.82,8100
Calvert US Large-Cap Core Responsible Index ETF,CVLC,20260109,85.8,86.17,85.7,86.05,30900
Cel-Sci Corp,CVM,20260109,5.9,5.952,5.44,5.48,58400
Calvert US Mid-Cap Core Responsible Index ETF,CVMC,20260109,66.2931,66.5,66.2931,66.431,2800
Yieldmax Cvna Option Income Strategy ETF,CVNY,20260109,37.97,39.32,37.97,39.11,24400
Chicago Rivet & Machine Company,CVR,20260109,14.23,14.46,14.15,14.3,5700
Madison Covered Call ETF,CVRD,20260109,18.8156,18.8156,18.8156,18.8156,100
Calamos Convertible Equity Alternative ETF,CVRT,20260109,39.815,39.955,39.74,39.955,1000
Calvert Ultra-Short Investment Grade ETF,CVSB,20260109,50.8,50.83,50.755,50.805,12400
CPI Aerostructures,CVU,20260109,4.5,4.6313,4.2,4.4,312700
Invesco Zacks Multi-Asset Income ETF,CVY,20260109,27.6,27.8699,27.6,27.7965,11900
BBG Convertible Securities SPDR ETF,CWB,20260109,91.98,92.46,91.63,92.3,436700
CSI China Internet Bull 2X ETF Direxion,CWEB,20260109,44.37,44.4,43.34,44.17,162100
ACWI Ex-US MSCI ETF SPDR,CWI,20260109,36.87,37.06,36.85,37.03,207400
Rex Crwv Growth & Income ETF,CWII.OB,20260109,13.8365,13.84,13.68,13.7716,2400
Advisorshares Focused Equity ETF,CWS,20260109,70.02,70.64,70.02,70.5931,7100
Tradr 2X Long Crwv Daily ETF,CWVX,20260109,25.89,27.84,24,26.985,2435400
Teucrium 2X Daily Corn ETF,CXRN,20260109,19.63,19.6798,19.55,19.6798,3500
Invesco Zacks Mid-Cap ETF,CZA,20260109,113.81,113.937,113.81,113.8439,1500
Doubleline Asset-Backed Securities ETF,DABS,20260109,50.9299,51.09,50.8701,50.96,4800
DeFiance Daily Target 2X Short Amd ETF,DAMD,20260109,26.89,27.19,26.15,27.19,22700
Dana Limited Volatility ETF,DANA.OB,20260109,25.4,25.4,25.275,25.275,15700
FT Vest U.S. Deep Buffer ETF - Apr,DAPR,20260109,39.4354,39.4592,39.42,39.4503,11500
Grizzle Growth ETF,DARP,20260109,46.6899,46.825,46.65,46.6739,1500
Tradr 2X Long Dash Daily ETF,DASX,20260109,17.05,17.05,16.08,16.43,14600
Proshares Big Data Refiners ETF,DAT,20260109,45.35,45.35,45.325,45.325,400
FT Vest U.S. Deep Buffer ETF - Aug,DAUG,20260109,44.56,44.7,44.5493,44.6699,4200
DB Agriculture Fund Invesco,DBA,20260109,25.95,25.96,25.75,25.78,312300
Xt MSCI All World Ex US Hedged Equity ETF,DBAW,20260109,42.64,42.7472,42.58,42.6,17200
DB Base Metals Fund Invesco,DBB,20260109,23.87,23.98,23.805,23.9,834600
DB Commodity Index Fund Invesco,DBC,20260109,22.97,23.06,22.89,22.9,220500
DB Energy Fund Invesco,DBE,20260109,17.71,17.85,17.6,17.6,7200
Xt MSCI EAFE Hedged Equity ETF,DBEF,20260109,49.69,49.9476,49.69,49.91,853100
Xt MSCI Emerging Markets Hedged Equity ETF,DBEM,20260109,33.26,33.53,33.188,33.3883,68000
Xt MSCI Europe Hedged Equity ETF,DBEU,20260109,49.53,49.65,49.495,49.57,22400
Xt MSCI Eurozone Hedged Equity ETF,DBEZ,20260109,56.94,57.1899,56.89,57.1899,9100
Xt MSCI Japan Hedged Equity ETF,DBJP,20260109,99.29,100.34,99.29,100.22,123500
IM Dbi Managed Futures Strategy ETF,DBMF,20260109,28.45,28.56,28.41,28.5,508100
Doubleline Opportunistic Bond ETF,DBND,20260109,46.43,46.4832,46.41,46.4588,31700
DB Oil Fund Invesco,DBO,20260109,12.52,12.69,12.48,12.48,276200
DB Precious Metals Fund Invesco,DBP,20260109,108.9,109.855,108.8,109.3,10700
Dakota Gold Corp,DC,20260109,5.85,5.87,5.695,5.75,784200
Dakota Gold Corp WT,DC.W,20260109,3.44,3.72,3.31,3.69,20700
,DC.WS,20260109,3.44,3.72,3.31,3.69,20272
Doubleline Commodity Strategy ETF,DCMT,20260109,26.87,26.8977,26.7448,26.7448,3700
Dimensional US Core Equity 1 ETF,DCOR,20260109,75.2,75.5799,74.99,75.46,177100
Doubleline Commercial Real Estate ETF,DCRE,20260109,52.15,52.15,51.9701,52.0312,18200
Ddc Enterprise Limited Cl A,DDC,20260109,2.56,3.48,2.422,3,83900
FT Vest U.S. Deep Buffer ETF - Dec,DDEC,20260109,45.33,45.47,45.2401,45.47,57200
Innovator Equity Dual Dir 15 Buffer ETF December,DDFD,20260109,19.24,19.28,19.24,19.255,9000
,DDFJ,20260109,19.0601,19.13,19.0601,19.125,44900
Innovator Equity Dual Dir 15 Buffer ETF July,DDFL,20260109,20.59,20.63,20.59,20.59,15700
Innovator Equity Dual Dir 15 Buffer ETF November,DDFN,20260109,19.27,19.34,19.27,19.3,1100
Innovator Equity Dual Directional 15 Buffer ETF,DDFO,20260109,21.69,21.7399,21.68,21.695,21800
Innovator Equity Dd 15 Buffer ETF Sep,DDFS,20260109,21.251,21.2802,21.2501,21.2802,900
Wisdomtree Dynamic Cur-Hgd Intl Smallcap Equity,DDLS,20260109,44.16,44.38,44.11,44.24,14900
Ultra Dow30 2X ETF,DDM,20260109,59.67,60.34,59.455,60.21,441900
,DDNQ,20260109,19.85,19.87,19.82,19.85,5000
,DDSQ,20260109,19.25,19.315,19.2287,19.2407,14000
Innovator Equity Dual Dir 10 Buffer ETF December,DDTD,20260109,19.27,19.3412,19.27,19.3344,11800
,DDTJ,20260109,19.14,19.19,19.1,19.16,55800
Innovator Equity Dual Dir 10 Buffer ETF July,DDTL,20260109,20.97,21.0912,20.97,21.03,5200
Innovator Equity Dual Dir 10 Buffer ETF November,DDTN,20260109,19.2708,19.39,19.2708,19.365,8200
Innovator Equity Dual Directional 10 Buffer ETF,DDTO,20260109,21.874,21.874,21.8597,21.8597,300
Innovator Equity Dd 10 Buffer ETF Sep,DDTS,20260109,21.42,21.5163,21.42,21.5163,300
DeFined Duration 5 ETF,DDV,20260109,25.16,25.1799,25.12,25.145,3000
Wisdomtree Dynamic Cur-Hgd Intl Equity Fund,DDWM,20260109,44.67,44.83,44.5901,44.82,79100
DeFined Duration 10 ETF,DDX,20260109,24.42,24.47,24.42,24.445,800
DeFined Duration 20 ETF,DDXX,20260109,26.49,26.49,25.8065,25.8065,200
FT Vest U.S. Max Buffer ETF - Dec,DECM,20260109,32.94,32.98,32.93,32.955,15500
PGIM S&P 500 Buffer 12 ETF - December,DECP,20260109,30.81,30.81,30.7844,30.7844,1100
Aim U.S. Large Cap Buffer10 Dec ETF,DECT,20260109,36.94,37.1299,36.94,37.03,5500
Allianzim U.S. Equity Buffer15 Uncapped Dec ETF,DECU,20260109,27.65,27.75,27.63,27.69,15000
Aim U.S. Large Cap Buffer20 Dec ETF,DECW,20260109,34.14,34.27,34.14,34.25,22600
Trueshares Structured Outcome [Dec] ETF,DECZ,20260109,40.74,40.83,40.73,40.7634,6000
Tcw Securitized Plus ETF FT,DEED,20260109,21.63,21.6999,21.63,21.6883,11300
Xt FTSE Developed Ex US Multifactor ETF,DEEF,20260109,36.63,36.87,36.56,36.7545,1500
Deep Value ETF,DEEP,20260109,37.41,37.6925,37.4,37.6925,800
Hashdex Bitcoin Futures ETF,DEFI,20260109,102.4,102.4,102.0227,102.0227,300
Aptus Deferred Income ETF,DEFR,20260109,26.79,26.79,26.77,26.7753,4000
Dimensional E.M. High Profitability ETF,DEHP,20260109,33.54,33.76,33.175,33.72,17900
Wisdomtree EM High Div Fund,DEM,20260109,47.38,47.5,47.32,47.5,160500
Wisdomtree U.S. Smallcap Dividend Fund,DES,20260109,34.99,35.135,34.68,34.97,87200
Vaneck Office and Commercial REIT ETF,DESK,20260109,37.8315,37.8315,37.753,37.753,400
Xt Russell US Multifactor ETF,DEUS,20260109,60.08,60.23,60.08,60.1706,255900
Wisdomtree Global High Dividend Fund,DEW,20260109,62.58,62.58,62.39,62.4931,2400
Dimensional E.M. Ex China Core Equity ETF,DEXC,20260109,62.38,62.6684,62.26,62.56,12400
Dimensional U.S. Core Equity 2 ETF,DFAC,20260109,40.5,40.73,40.4,40.68,1930100
Dimensional W.M. Core Equity Market ETF,DFAE,20260109,33.75,33.885,33.635,33.88,2384700
Dimensional International Core Equity Market ETF,DFAI,20260109,39.07,39.245,39.045,39.2,1135400
Dimensional US Real Estate ETF,DFAR,20260109,23.1,23.26,23.1,23.13,663800
Dimensional U.S. Small Cap ETF,DFAS,20260109,73.12,73.6222,72.684,73.43,420200
Dimensional U.S. Targeted Value ETF,DFAT,20260109,62.46,62.69,61.8306,62.51,304000
Dimensional US Core Equity Market ETF,DFAU,20260109,47.63,47.911,47.5,47.83,460100
Dimensional World Equity ETF,DFAW,20260109,75.46,76.1,75.46,76.02,75800
Dimensional World Ex U.S. Core Equity 2 ETF,DFAX,20260109,33.6,33.7567,33.54,33.71,743600
Dimensional California Municipal Bond ETF,DFCA,20260109,50.34,50.34,50.29,50.31,44300
Dimensional Core Fixed Income ETF,DFCF,20260109,42.65,42.7299,42.6,42.69,905800
Wisdomtree Europe Smallcap Dividend Fund,DFE,20260109,72.91,73.11,72.82,73.092,3900
FT Vest U.S. Deep Buffer ETF - Feb,DFEB,20260109,48,48.025,47.92,48.02,6500
Dimensional E.M. Core Equity 2 ETF,DFEM,20260109,34.15,34.32,34.07,34.3,827000
Aerospace & Defense Bull 3X ETF Direxion,DFEN,20260109,76.78,81.1899,76.715,80.87,419100
Dimensional E.M. Value ETF,DFEV,20260109,34.6,34.75,34.52,34.74,110400
Dimensional Global Real Estate ETF,DFGR,20260109,26.64,26.77,26.64,26.67,387400
Dimensional Intl Core Equity 2 ETF,DFIC,20260109,35.26,35.44,35.26,35.4,1101900
FT Vest Bitcoin Strategy & Target Income ETF,DFII,20260109,18.08,18.31,17.989,18.02,36800
Dimensional Inflation-Protected Securities ETF,DFIP,20260109,41.6,41.6666,41.595,41.645,89000
Dimensional Intl Small Cap ETF,DFIS,20260109,33.85,33.9714,33.755,33.93,424600
Dimensional International Value ETF,DFIV,20260109,50.61,50.865,50.59,50.76,1171100
Wisdomtree Japan Smallcap Fund,DFJ,20260109,99.36,99.98,99.36,99.795,6900
Dimensional US Large Cap Value ETF,DFLV,20260109,35.34,35.5168,35.29,35.44,625000
Davis Select Financial ETF,DFNL,20260109,49.88,49.88,49.38,49.4,229300
Dimensional National Municipal Bond ETF,DFNM,20260109,48.41,48.42,48.38,48.42,188200
Dimensional Global Sustainability Fixed Inc ETF,DFSB,20260109,51.95,52.06,51.94,52.04,25000
Dimensional Short-Duration Fixed Income ETF,DFSD,20260109,47.98,48.0299,47.98,47.98,595500
Dimensional E.M. Sustainability ETF,DFSE,20260109,42.6376,43.14,42.6376,42.87,35800
Dimensional International Sustainability ETF,DFSI,20260109,43.88,44.16,43.67,44.16,68600
Dimensional US Sustainability Core 1 ETF,DFSU,20260109,44.28,44.509,44.16,44.41,73300
Dimensional US Small Cap Value ETF,DFSV,20260109,34.54,34.75,34.245,34.63,1214200
Df Tactical 30 ETF,DFTT.OB,20260109,25.6646,25.7547,25.6646,25.71,2300
Dimensional U.S. Equity ETF,DFUS,20260109,75.3,75.79,75.135,75.67,657500
Dimensional US Marketwide Value ETF,DFUV,20260109,48.19,48.4116,48.08,48.34,248700
Doubleline Fortune 500 Equal Weight ETF,DFVE,20260109,33.04,33.2,33.04,33.1642,4700
Dimensional US Large Cap Vector ETF,DFVX,20260109,76.659,76.89,76.4208,76.81,7800
Vaneck Digital India ETF,DGIN,20260109,40.27,40.68,40.12,40.2672,5400
FT U.S. Equity Buffer & Digital Return ETF Octob,DGOC,20260109,31.325,31.325,31.325,31.325,0
DB Gold 2X ETN Powershares,DGP,20260109,174.98,176.12,173.72,174.91,20200
Dividend Growth Ishares Core ETF,DGRO,20260109,70.73,71.1177,70.725,70.97,1985700
Wisdomtree Emerging Market Smallcap Fund,DGS,20260109,58.26,58.5227,58.22,58.47,101900
Global Dow ETF SPDR,DGT,20260109,169.75,170.05,169.11,169.99,12900
DB Gold -1X ETN Powershares,DGZ,20260109,5.3,5.555,5.3,5.48,800
FT Vest U.S. Quarterly 2.5 To 15 Buffer ETF,DHDG,20260109,34.435,34.535,34.435,34.5,3800
Diamond Hill Large Cap Concentrated ETF,DHLX,20260109,13.39,13.39,13.32,13.35,53200
Wisdomtree U.S. High Dividend Fund,DHS,20260109,104.21,104.49,104.0302,104.19,12400
Strategy Shares Day Hagan Smart Buffer ETF,DHSB,20260109,26.0862,26.0862,26.0862,26.0862,100
Credit Suisse High Yield Bond Fund,DHY,20260109,2.02,2.02,2.01,2.02,266100
Dow Industrials SPDR,DIA,20260109,492.86,495.695,491.91,495.02,6004500
Columbia Diversified Fixed Income ETF,DIAL,20260109,18.4,18.4609,18.3763,18.41,177300
Franklin Emerging Market Core Div Tilt ETF,DIEM,20260109,34.6,34.779,34.6,34.7549,4000
Ultra Oil & Gas 2X ETF,DIG,20260109,39.33,39.35,39.01,39.15,20300
Dimensional Intl High Profitability ETF,DIHP,20260109,32.47,32.7255,32.47,32.69,378500
Wisdomtree International Midcap Dividend Fund,DIM,20260109,82.1,82.54,81.95,82.3973,5400
Davis Select International ETF,DINT,20260109,29.21,29.45,29.21,29.38,16600
Yieldmax Short Nvda Option Income Strategy ETF,DIPS,20260109,51.475,51.676,51.39,51.425,5800
Yieldmax Dis Option Income Strategy ETF,DISO,20260109,12.115,12.1772,12.05,12.1772,11000
Dimensional Intl Small Cap Value ETF,DISV,20260109,38.88,39.02,38.7501,38.99,582800
Amcon Distributing Company,DIT,20260109,108.96,108.96,108.96,108.96,700
GX Superdividend U.S. ETF,DIV,20260109,17.75,17.8,17.6817,17.71,571100
US Dividend and Buyback Ishares ETF,DIVB,20260109,54.4,54.5799,54.225,54.48,102700
Tidal Trust I Dana Concentrated Dividend ETF,DIVE,20260109,26.42,26.42,26.3501,26.42,2200
Invesco S&P 500 High Dividend Growers ETF,DIVG,20260109,33.335,33.335,33.2619,33.2619,3600
Franklin Intl Core Div Tilt ETF,DIVI,20260109,39.81,40,39.79,39.96,233500
Madison Dividend Value ETF,DIVL,20260109,23.67,23.7255,23.67,23.7255,900
Horizon Dividend Income ETF,DIVN,20260109,27.28,27.4,27.25,27.31,5700
Amplify Cwp Enhanced Dividend Income ETF,DIVO,20260109,45.41,45.55,45.3322,45.48,1075700
Cullen Enhanced Equity Income ETF,DIVP,20260109,25.97,25.97,25.8425,25.8425,7200
Smartetfs Dividend Builder ETF,DIVS,20260109,31.08,31.157,31.05,31.1399,1800
Opal Dividend Income ETF,DIVZ,20260109,36.5501,36.69,36.53,36.6086,23800
FT Vest U.S. Deep Buffer ETF - Jan,DJAN,20260109,43.5702,43.64,43.57,43.6145,24500
Dow Jones Indu Dividend Invesco ETF,DJD,20260109,58.14,58.5,58.14,58.37,41700
GX Dow 30 Covered Call ETF,DJIA,20260109,22.34,22.3899,22.29,22.38,43600
Ipath Commodity Index TR ETN,DJP,20260109,38.7,39.07,38.63,38.63,258100
T-Rex 2X Long Djt Daily Target ETF,DJTU,20260109,4.47,4.6,4.4,4.6,1050500
FT Vest U.S. Deep Buffer ETF - Jul,DJUL,20260109,47.825,47.913,47.745,47.886,4700
FT Vest U.S. Deep Buffer ETF - Jun,DJUN,20260109,47.4701,47.57,47.4701,47.5648,2300
T-Rex 2X Long Dkng Daily Target ETF,DKUP,20260109,13.27,13.27,12.6372,12.6372,2400
FT Vest U.S. Equity Dual Direct Buffer ETF Augus,DLAG,20260109,31.39,31.57,31.39,31.5392,2000
Wisdomtree U.S. Largecap Dividend Fund,DLN,20260109,89.45,89.9654,89.45,89.79,261400
FT Vest U.S. Equity Dual Directional Buffer ETF,DLNV,20260109,31.4258,31.4258,31.4258,31.4258,0
Wisdomtree International Smallcap Fund,DLS,20260109,82.96,83.26,82.57,83.155,34600
FT Vest U.S. Deep Buffer ETF - Mar,DMAR,20260109,41.7504,41.8106,41.7504,41.7992,9200
Ishares Trust Ishares Large Cap Max Buffer Dec E,DMAX,20260109,26.69,26.75,26.69,26.73,435100
FT Vest U.S. Deep Buffer ETF - May,DMAY,20260109,45.353,45.4607,45.353,45.4607,2800
Doubleline Mortgage ETF,DMBS,20260109,49.79,50.01,49.7802,49.9444,26900
Democracy International Fund,DMCY,20260109,31.88,31.88,31.8549,31.8549,700
Doubleline Multi-Sector Income ETF,DMX,20260109,50.54,50.65,50.54,50.625,2400
Wisdomtree Global Ex-US Quality Div Growth Fund,DNL,20260109,43,43.295,42.98,43.25,222300
Denison Mines Corp,DNN,20260109,3.4,3.51,3.26,3.31,37255800
FT Vest U.S. Deep Buffer ETF - Nov,DNOV,20260109,49.11,49.21,49.0101,49.21,11200
FT Vest U.S. Deep Buffer ETF - Oct,DOCT,20260109,44.52,44.6562,44.4639,44.6097,6700
Short Dow30 -1X ETF,DOG,20260109,22.94,22.9706,22.7991,22.84,3227700
Tradr 2X Long Ddog Daily ETF,DOGD,20260109,22.28,22.5504,20.4919,20.62,28900
FT Vest DJIA Dogs 10 Target Income ETF,DOGG,20260109,20.83,21.0099,20.83,20.9,31200
Rex-Osprey Doge ETF,DOJE,20260109,13.1,13.52,12.9901,13.06,44900
Wisdomtree International Largecap Dividend Fund,DOL,20260109,67.32,67.58,67.15,67.5,16900
Wisdomtree U.S. Midcap Dividend Fund,DON,20260109,53.54,53.79,53.32,53.6,139300
Regional Banks Bull 3X ETF Direxion,DPST,20260109,117.25,119.09,112.93,113.08,376000
Draco Evolution AI ETF,DRAI,20260109,30.6099,30.82,30.5801,30.8167,2700
Yieldmax Dkng Option Income Strategy ETF,DRAY,20260109,31.22,31.26,30.81,30.81,1800
GMO Domestic Resilience ETF,DRES,20260109,26.98,27.15,26.98,27.1317,1300
Themes China Generative Artificial Intelligence,DRGN,20260109,35.23,35.77,35.23,35.74,89300
S&P Oil & Gas Exp. & Prod. Bear -2X ETF Direxion,DRIP,20260109,8.62,8.895,8.54,8.83,6509300
Vistashares Target 15 Drukmacro Dist ETF,DRKY,20260109,22.56,22.56,22.2652,22.32,7700
Real Estate Bull 3X ETF Direxion,DRN,20260109,8.54,8.73,8.53,8.59,720200
Aptus Defined Risk ETF,DRSK,20260109,28.66,28.7599,28.6,28.63,167400
Graniteshares Nasdaq Select Disruptors ETF,DRUP,20260109,67.3,67.34,67.2342,67.2342,5800
Real Estate Bear -3X ETF Direxion,DRV,20260109,26.55,26.55,25.79,26.28,64400
FT Vest U.S. Deep Buffer ETF - Sep,DSEP,20260109,45.105,45.29,45.105,45.29,5400
KLD 400 Social Ishares MSCI ETF,DSI,20260109,130.65,131.6,130.53,131.35,147900
Tema S&P 500 Historical Weight ETF Strategy,DSPY,20260109,59.28,59.5911,59.28,59.5911,1300
Document Security Systems,DSS,20260109,0.97,1.08,0.969,1.055,57200
Distillate U.S. Fundamental Stability Value ETF,DSTL,20260109,60.18,60.36,59.98,60.26,126700
Sparkline International Intangible Value ETF,DTAN,20260109,31.97,32.13,31.97,32.0437,3000
Wisdomtree U.S. Total Dividend Fund,DTD,20260109,86.51,86.95,86.51,86.72,32000
Alps Disruptive Technologies ETF,DTEC,20260109,49.99,50.3407,49.99,50.32,6100
Wisdomtree International High Dividend Fund,DTH,20260109,52.01,52.5,51.85,52.1051,46100
Alerian Dis Tech Real Estate ETF FT,DTRE,20260109,39.7579,39.7579,39.7579,39.7579,100
Aptus Large Cap Enhanced Yield ETF,DUBS,20260109,38.1,38.34,38.01,38.21,7800
Ultrashort Oil & Gas -2X ETF,DUG,20260109,29.48,29.78,29.46,29.653,31800
Dimensional US High Profitability ETF,DUHP,20260109,38.46,38.7209,38.43,38.64,1362500
Ocean Park Domestic ETF,DUKQ,20260109,28.33,28.5962,28.33,28.57,3700
Ocean Park Diversified Income ETF,DUKZ,20260109,25.42,25.43,25.416,25.4299,6300
Microsectors Gold -3X Inverse Leveraged ETN,DULL,20260109,1.47,1.49,1.455,1.46,226400
Tidal Trust I Dana Unconstrained Equity ETF,DUNK,20260109,24.71,24.71,24.46,24.5436,13900
Vaneck Morningstar Durable Dividend ETF,DURA,20260109,34.37,34.46,34.37,34.4357,5600
Davis Select USA ETF,DUSA,20260109,52.22,52.3699,51.96,52.24,44400
Dimensional Ultrashort Fixed Income ETF,DUSB,20260109,50.68,50.72,50.68,50.7,266600
Industrials Bull 3X ETF Direxion,DUSL,20260109,75.31,76.55,75.0227,76.386,11300
Gold Miners Bear -2X ETF Direxion,DUST,20260109,6.47,6.55,6.28,6.38,46690500
Kingsbarn Dividend Opportunity ETF,DVDN,20260109,18.938,18.95,18.829,18.829,200
Touchstone Dividend Select ETF,DVND,20260109,36.0185,36.0185,36.0185,36.0185,100
Dolly Varden Silver Corp,DVS,20260109,4.4,4.52,4.3516,4.38,1077600
Asia Pacific Dividend Ishares ETF,DVYA,20260109,45.48,45.71,45.41,45.6559,6100
Emrg Mkts Dividend Ishares ETF,DVYE,20260109,31.8,32.0399,31.8,31.92,195000
Davis Select World Opportunities ETF,DWLD,20260109,47.625,47.6786,47.2716,47.51,18700
Wisdomtree International Equity Fund,DWM,20260109,70.32,70.73,70.21,70.4957,14900
Wisdomtree International Multifactor Fund,DWMF,20260109,33.23,33.26,33.18,33.2392,500
S&P Dividend Intl SPDR,DWX,20260109,44.16,44.23,44.1,44.206,51700
Ultrashort Dow30 -2X ETF,DXD,20260109,19.52,19.59,19.2975,19.34,1852000
Eason Technology Limited ADR,DXF,20260109,2.27,2.27,1.96,2.06,79700
Dimensional International Vector Equity ETF,DXIV,20260109,66.55,66.68,66.455,66.6607,7700
Wisdomtree Japan Hedged Equity Fund,DXJ,20260109,151.34,152.93,151.31,152.23,861900
Dimensional US Vector Equity ETF,DXUV,20260109,61.65,61.849,61.28,61.77,23600
Leadershares Dynamic Yield ETF,DYLD,20260109,22.61,22.63,22.605,22.63,4500
GX Dow 30 Covered Call & Growth ETF,DYLG,20260109,27.08,27.1399,27.05,27.1,3600
Blackrock U.S. Equity Factor Rotation ETF,DYNF,20260109,61.22,61.6701,61.0938,61.57,3434000
DB Gold -2X ETN Powershares,DZZ,20260109,3.53,3.565,3.31,3.32,16500
Wells Fargo Advantage,EAD,20260109,6.8,6.89,6.8,6.84,203300
Pacer Dvlp Markets Cash Cows Growth Leadeds ETF,EAFG,20260109,24.304,24.304,24.304,24.304,100
Ishares ESG U.S. Aggregate Bond ETF,EAGG,20260109,47.95,48.0203,47.895,48,384200
Eagle Capital Select Equity ETF,EAGL,20260109,33.59,33.88,33.59,33.83,415600
Innovator U.S. Equity 5-15 Buffer ETF Qtr,EALT,20260109,35.6,35.8,35.5922,35.7,73800
Ishares ESG Aware Aggressive Allocation ETF,EAOA,20260109,42,42.205,42,42.2004,1000
Ishares ESG Aware Conservative Allocation ETF,EAOK,20260109,27.75,27.78,27.75,27.7774,3100
Ishares ESG Aware Moderate Allocation ETF,EAOM,20260109,30.3731,30.3731,30.3731,30.3731,100
Ishares ESG Aware Growth Allocation ETF,EAOR,20260109,35.91,35.9299,35.91,35.915,1000
Innovator Emerging Markets Power Buffer ETF Apr,EAPR,20260109,29.83,30.03,29.83,29.893,4000
Xt MSCI EAFE ESG Leaders Equity ETF,EASG,20260109,35.98,36.16,35.98,36.16,4000
