<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Canadian Imperial Bank of Commerce,CM,20260109,91.67,91.77,90.71,90.75,564500
Comerica Inc,CMA,20260109,92.56,93.05,91.32,91.51,1028300
Comerica Inc Pfd,CMA-B,20260109,26.09,26.09,26.02,26.07,23100
,CMApB,20260109,26.09,26.09,26.02,26.07,19292
Cmb.Tech NV,CMBT,20260109,11.37,11.415,11.135,11.4,3837400
Commercial Metals Company,CMC,20260109,70.63,72.93,70.27,72.46,1350300
Cheetah Mobile Inc ADR,CMCM,20260109,6.36,6.66,6.36,6.5,11300
Costamare Bulkers Holdings Limited,CMDB,20260109,15.56,15.56,14.98,15.14,54500
Chipotle Mexican Grill,CMG,20260109,39.74,40.15,39.045,40.11,18266200
Cummins Inc,CMI,20260109,545,554.15,543,552.09,768500
Compass Minerals Intl Inc,CMP,20260109,22.66,22.885,22.15,22.72,333400
Composecure Inc,CMPO,20260109,21.75,23.6,21.67,22.17,1662800
Costamare Inc [Cmre/Pb],CMR-B,20260109,25.8,25.99,25.75,25.99,4100
Costamare Inc [Cmre/Pc],CMR-C,20260109,27,27.1179,27,27.1179,1300
Costamare Inc [Cmre/Pd],CMR-D,20260109,28,28.02,27.943,28.02,5600
Costamare Inc,CMRE,20260109,16.16,16.318,16.02,16.19,460500
,CMREpB,20260109,25.8,25.99,25.75,25.99,3885
,CMREpC,20260109,27,27.1179,27,27.1179,1145
,CMREpD,20260109,28,28.02,27.943,28.02,5212
Cms Energy Corp,CMS,20260109,69.79,70.56,69.74,69.99,3028000
Consumers Energy Company [Cms/Pb],CMS-B,20260109,77.28,77.33,77.28,77.3,300
Cms Energy Corp,CMS-C,20260109,17.57,17.6434,17.46,17.5,10400
Cms Energy Corp 5.625% Junior Subordinate,CMSA,20260109,22.2,22.34,22.15,22.34,16500
Cms Energy Corp,CMSC,20260109,22.95,23.27,22.93,23.27,35500
Cms Energy Corp 5.875% Junior Subordinate,CMSD,20260109,23.49,23.73,23.47,23.69,37700
,CMSpB,20260109,77.28,77.33,77.28,77.3,345
,CMSpC,20260109,17.57,17.6434,17.46,17.5,7327
Claros Mortgage Trust Inc,CMTG,20260109,2.86,2.86,2.775,2.78,247000
Colonial Muni Income Trust,CMU,20260109,3.53,3.56,3.53,3.55,100400
CNA Financial Corp,CNA,20260109,46.97,47.3047,46.27,46.35,386300
Centene Corp,CNC,20260109,47.18,47.47,46.57,46.61,6090000
Cnfinance Holdings Ltd ADR,CNF,20260109,5.5,5.71,4.7,5.01,29800
CNH Industrial N.V.,CNH,20260109,10.34,10.44,10.015,10.19,9880800
Canadian National Railway,CNI,20260109,99.46,100.1825,98.52,98.95,946900
Cinemark Holdings Inc,CNK,20260109,22.69,22.88,22.12,22.47,2451500
Core & Main Inc Cl A,CNM,20260109,55.67,57.06,55.245,56.63,1806800
C O N M E D Corp,CNMD,20260109,43.24,43.505,41.81,42.91,743100
Cannae Holdings Inc,CNNE,20260109,16.09,16.13,15.69,15.96,364000
Cno Financial Group,CNO,20260109,43.8,44.13,43.37,43.4,415700
Cno Financial Group Inc 5.125%,CNO-A,20260109,19.0245,19.0245,19.0245,19.0245,200
,CNOpA,20260109,19.0245,19.0245,19.0245,19.0245,104
Centerpoint Energy Inc,CNP,20260109,38.13,38.455,37.88,37.89,3082300
Canadian Natural Resources,CNQ,20260109,31.71,32.14,31.62,32.08,8539000
Core Natural Resources Inc,CNR,20260109,94,98.1,93.6108,96.38,1016900
Cohn & Steers Inc,CNS,20260109,67.21,69.075,67.05,68.04,310900
CNX Resources Corp,CNX,20260109,34.98,35.25,34.205,34.5,1733900
Compass Div Holdings [Codi/Pa],COD-A,20260109,17.46,17.55,17.1001,17.33,3200
Compass Div Holdings [Codi/Pb],COD-B,20260109,19.05,19.53,19,19.5,31900
Compass Div Holdings [Codi/Pc],COD-C,20260109,19,19.93,19,19.67,112400
Compass Diversified Holdings,CODI,20260109,5.23,5.52,5.16,5.5,1390200
,CODIpA,20260109,17.4608,17.55,17.1001,17.33,2797
,CODIpB,20260109,19.05,19.53,19,19.5,25952
,CODIpC,20260109,19.59,19.93,19,19.67,55707
Capital One Financial Corp,COF,20260109,256,256.51,249.09,249.2,3834300
Capital One Financial Corp [Cof/Pi],COF-I,20260109,19.24,19.34,19.2,19.27,112500
Capital One Financial Corp [Cof/Pj],COF-J,20260109,18.34,18.45,18.3,18.45,203600
Capital One Financial Corp,COF-K,20260109,17.66,17.73,17.6525,17.73,6300
Capital One Financial Corp,COF-L,20260109,16.92,16.95,16.83,16.86,32200
Capital One Financial Corp,COF-N,20260109,16.47,16.64,16.43,16.64,349100
,COFpI,20260109,19.24,19.34,19.2,19.27,101920
,COFpJ,20260109,18.34,18.45,18.3,18.45,101653
,COFpK,20260109,17.66,17.7,17.6525,17.7,4288
,COFpL,20260109,16.92,16.95,16.83,16.86,27915
,COFpN,20260109,16.47,16.64,16.43,16.64,345994
Coherent Corp,COHR,20260109,169,181.55,167.5,178.06,5456500
Americold Realty Trust,COLD,20260109,13.37,13.45,12.98,13.28,4874900
Compass Inc Cl A,COMP,20260109,12.56,13.53,12.55,12.84,50024900
Concentra Group Holdings Parent Inc,CON,20260109,19.84,19.92,19.51,19.9,713400
Traeger Inc,COOK,20260109,0.88,0.9786,0.88,0.97,350400
Conocophillips,COP,20260109,99.14,100.3,97.28,97.51,8940700
Cencora Inc,COR,20260109,334.31,339.47,333.79,335.69,916900
Coastalsouth Bancshares Inc,COSO,20260109,23.17,23.17,22.9,23.15,15100
Coty Inc,COTY,20260109,3.14,3.2,3.08,3.19,9109600
Coursera Inc,COUR,20260109,7.32,7.38,7.145,7.29,3107100
Canadian Pacific Kansas City Ltd,CP,20260109,72.86,72.92,71.17,71.57,2014700
Copa Holdings S.A.,CPA,20260109,131.6,132.27,128.995,130.9,324600
Cementos Pacasmayo S.A.A ADR,CPAC,20260109,10.23,10.78,10.14,10.34,40400
Northern Lights Counterpoint Quantitative Equity,CPAI,20260109,43.29,43.39,42.85,43.26,23600
Corpay Inc,CPAY,20260109,330.81,334.6999,329.575,331.5,661400
Central Pacific Financial Company,CPF,20260109,32.16,32.32,31.86,31.93,84900
Chesapeake Utilities Corp,CPK,20260109,123.99,125.23,122.4,122.9,114500
Calpine Corp,CPN,20260109,30.48,30.6,30.42,30.51,29238
Coupang Inc Cl A,CPNG,20260109,22.5,23.015,22.39,22.74,14244300
Capri Holdings Ltd,CPRI,20260109,26.39,26.89,25.4815,26.12,1866200
Cooper Std Holdings Inc,CPS,20260109,34.46,34.745,32.58,33.34,361700
Camden Property Trust,CPT,20260109,111.22,111.61,108.41,108.8,2005000
Cheniere Energy Partners LP,CQP,20260109,53.77,54.1,53.2501,53.49,50500
Crane Company,CR,20260109,199.95,203.23,198.935,202.56,221400
Corebridge Financial Inc 6.375%,CRBD,20260109,23.82,23.905,23.63,23.9,69800
Corebridge Financial Inc,CRBG,20260109,30.8,31.18,30.585,31.08,3360900
California Resources Corp,CRC,20260109,46.41,46.62,45.39,45.54,861800
Circle Internet Group Inc Cl A,CRCL,20260109,82.2,84.33,79.45,82.9,7686300
Crawford Company Cl A,CRD.A,20260109,10.94,11.0799,10.86,10.94,45000
Crawford Company Cl B,CRD.B,20260109,10.74,10.74,10.31,10.55,3200
Crescent Energy Company Cl A,CRGY,20260109,8.25,8.3699,8.06,8.12,6809100
CRH Plc ADR,CRH,20260109,125.51,131.55,125.33,131.38,5649700
,CRI,20260109,36.55,38.88,34.32,35.64,2492100
Comstock Resources,CRK,20260109,21.5,21.75,20.785,21.24,2564800
Charles River Laboratories Intl,CRL,20260109,217.82,222.37,216.875,220.91,1133400
Salesforce Inc,CRM,20260109,260,261.025,256.509,259.94,5174300
Carpenter Technology Corp,CRS,20260109,325.51,337.7199,325.25,328.65,732600
Cross Timbers Royalty Trust,CRT,20260109,8.24,8.24,8.0738,8.2,6700
Cosan Sa Spon ADR WI,CSAN,20260109,3.84,3.91,3.81,3.9,3082300
Carlisle Companies Inc,CSL,20260109,343.62,355.97,342.37,354.93,403500
Centerspace,CSR,20260109,66.9,67.3,64.92,66.58,157200
Constellium N.V.,CSTM,20260109,20.24,20.89,20.22,20.84,1842700
Carriage Services,CSV,20260109,42.89,44.28,42.77,44.23,49700
Csw Industrials Inc,CSW,20260109,321.24,324.39,315.0001,319.54,119500
Du Pont E.I. DE Nemours & Co. [Cta/Pb],CTA-B,20260109,67.34,67.79,67,67.74,3700
,CTApB,20260109,67.34,67.79,67,67.74,3000
Qwest Corp,CTBB,20260109,18.51,18.51,18.3,18.42,30500
Qwest Corp 6.75% Notes Due 2057,CTDD,20260109,18.96,18.99,18.85,18.92,19000
Claritev Corporation,CTEV,20260109,30.01,30.9,28.34,28.94,212400
Cto Realty Growth Inc,CTO,20260109,18.45,18.58,18.16,18.19,380200
Cto Realty Growth Inc,CTO-A,20260109,20.65,20.9266,20.65,20.8,1700
,CTOpA,20260109,20.65,20.9266,20.65,20.8,1406
Custom Truck One Source,CTOS,20260109,5.97,6.26,5.97,6.23,695700
Coterra Energy Inc,CTRA,20260109,25.41,25.435,24.71,24.82,9724200
Caretrust REIT Inc,CTRE,20260109,37.38,38.225,37.265,37.33,2326000
Centuri Holdings Inc,CTRI,20260109,26.65,27.4,26.355,26.39,787900
Cts Corp,CTS,20260109,45.56,46.07,45.23,46.05,145800
Corteva Inc,CTVA,20260109,70.02,70.57,68.63,68.65,3341200
Customers Bancorp Inc 5.375%,CUBB,20260109,22.48,22.49,22.3836,22.39,3000
Cubesmart,CUBE,20260109,37.08,37.865,36.935,37.68,2988500
Customers Bancorp,CUBI,20260109,79.4,79.91,77.8693,78.36,220000
Carnival Plc ADR,CUK,20260109,31.47,31.905,31.15,31.85,1584600
Culp Inc,CULP,20260109,3.46,3.6,3.44,3.46,13100
Curbline Properties Corp,CURB,20260109,23.43,23.53,23.17,23.5,626900
Torrid Holdings Inc,CURV,20260109,1.17,1.1766,1.07,1.09,114800
Cousins Properties Inc,CUZ,20260109,26.93,27.08,26.3,26.31,1575900
Cenovus Energy Inc,CVE,20260109,16.48,16.71,16.33,16.41,10194000
Civeo Corp,CVEO,20260109,24.05,24.785,23.9246,24.66,37700
Cvr Energy Inc,CVI,20260109,23.5,23.7375,22.61,22.97,1377500
Covenant Logistics Group Inc,CVLG,20260109,25.19,25.74,24.8101,25.21,175300
Carvana Company Cl A,CVNA,20260109,447.99,466.159,447.65,463.09,3257000
CVS Corp,CVS,20260109,80.81,81.155,79.2914,80.3,7968700
Chevron Corp,CVX,20260109,160.56,162.7,159.935,162.11,12549600
Curtiss-Wright Corp,CW,20260109,589.54,607.83,588.23,605.1,196100
Clearwater Analytics Holdings Inc Cl A,CWAN,20260109,24.1,24.19,24.08,24.13,6843800
Clearway Energy Inc [Cwen.A],CWE.A,20260109,30.73,30.88,29.99,30.08,317400
Clearway Energy Inc Cl C,CWEN,20260109,32.46,32.87,31.93,32.03,781000
Clearway Energy Inc.,CWEN.A,20260109,30.73,30.88,29.99,30.06,111861
Camping World Holdings Inc,CWH,20260109,11.29,11.75,10.96,11.73,2668500
Cushman & Wakefield Plc,CWK,20260109,16.57,16.965,16.505,16.62,2294300
California Water Service Group Holding,CWT,20260109,43.69,44.01,43.19,43.61,261300
Cemex S.A.B. DE C.V. ADR,CX,20260109,12.3,12.47,12.29,12.42,5892100
Colonial High Income Muni Trust,CXE,20260109,3.74,3.78,3.73,3.75,160400
Colonial Investment Grade Muni Trust,CXH,20260109,8.06,8.06,7.97,8.05,31600
Sprinklr Inc Cl A,CXM,20260109,7.64,7.71,7.505,7.63,884600
Crane Nxt CO,CXT,20260109,49.56,50.04,49.2,49.98,320300
Corecivic Inc,CXW,20260109,19.74,20.33,19.74,20.3,881200
China Yuchai International,CYD,20260109,41.13,41.97,40.31,41.61,171900
Community Health Systems,CYH,20260109,3.37,3.4,3.29,3.32,936300
Dominion Energy Inc,D,20260109,57.9,58.52,57.9,57.98,4880800
Danaos Corp,DAC,20260109,98.46,98.73,97.82,98.73,70000
Delta Air Lines Inc,DAL,20260109,71.89,72.9531,71.163,72.31,7971400
Dana Inc,DAN,20260109,26.66,26.85,26.07,26.69,1875200
Youdao Inc ADR,DAO,20260109,12.09,12.3666,11.68,11.79,49900
Darling International Inc,DAR,20260109,38.77,39.11,38.13,39.08,1704500
Endava Plc ADR,DAVA,20260109,6.79,7,6.66,6.92,734100
Dayforce Inc,DAY,20260109,69.4,69.46,69.36,69.42,1696900
Deutsche Bank Ag,DB,20260109,38.5,38.52,38.025,38.35,2452000
Diebold Nixdorf Incorporated,DBD,20260109,67.92,68.26,67.12,67.4,242100
Designer Brands Inc,DBI,20260109,8,8.35,7.702,8.17,818900
Doubleline Opportunistic Credit Fund,DBL,20260109,15.29,15.34,15.24,15.29,35500
Digitalbridge Group Inc [Dbrg/Ph],DBR-H,20260109,19.71,20.74,19.71,20.595,270700
Digitalbridge Group Inc [Dbrg/Pi],DBR-I,20260109,20.05,20.8,19.99,20.4,173700
Digitalbridge Group Inc [Dbrg/Pj],DBR-J,20260109,19.65,20.75,19.65,20.41,201000
Digitalbridge Group Inc,DBRG,20260109,15.38,15.39,15.35,15.36,3033400
,DBRGpH,20260109,19.71,20.74,19.71,20.595,263819
,DBRGpI,20260109,20.05,20.8,19.99,20.4,168643
,DBRGpJ,20260109,19.65,20.75,19.65,20.73,192193
Donaldson Company,DCI,20260109,95.43,96.0799,94.89,94.94,643400
Ducommun Inc,DCO,20260109,106.42,110,106.42,107.75,202300
Dupont Denemours Inc,DD,20260109,43.68,44.15,43.46,43.81,2851100
3D Systems Corp,DDD,20260109,2.72,2.72,2.21,2.33,13702200
Dingdong [Cayman] Ltd ADR,DDL,20260109,2.9,3,2.9,2.97,1152200
Dillard's,DDS,20260109,690.78,691.565,670,681.1,112400
,DDT,20260109,26.35,26.42,26.33,26.35,3000
Deere & Company,DE,20260109,500.7,503.55,484.86,488.08,1725600
Easterly Government Properties,DEA,20260109,22.55,22.88,22.275,22.36,385900
Diversified Energy Company Plc,DEC,20260109,13.9,13.98,13.28,13.3,604600
Deckers Outdoor Corp,DECK,20260109,107.59,108.4,102.165,103.76,2389500
Douglas Emmett,DEI,20260109,11.21,11.28,11.035,11.1,2437400
Dell Technologies Inc,DELL,20260109,119.98,121.01,117.32,120.62,7001400
Diageo Plc ADR,DEO,20260109,87.94,88.46,87.08,88.43,2385300
Dream Finders Homes Inc Cl A,DFH,20260109,18.15,19.68,17.91,19.65,744800
Donnelly Financial Solutions Inc,DFIN,20260109,51.03,51.56,50.31,51.38,173900
Flaherty & Crumrine Dynamic,DFP,20260109,21.13,21.165,21.1,21.14,30000
Dollar General Corp,DG,20260109,144.18,144.895,141.55,142.74,3020200
Quest Diagnostics Inc,DGX,20260109,177.52,178.295,174.43,174.44,942300
Dreyfus High Yield Strategies Fund,DHF,20260109,2.53,2.54,2.525,2.54,213000
D.R. Horton,DHI,20260109,150,157.63,149.7,157.28,7314200
Danaher Corp,DHR,20260109,237.2,238.5,233.975,238.37,2536100
Dht Holdings,DHT,20260109,13.45,13.525,13.16,13.42,2261600
Dice Holdings,DHX,20260109,1.7,1.78,1.68,1.68,155600
Nuveen Dow,DIAX,20260109,15.58,15.64,15.55,15.63,110000
Dineequity Inc,DIN,20260109,36.83,37.15,35.79,36.23,406500
HF Sinclair Corp,DINO,20260109,50.89,50.925,49.13,50.3,3887300
Walt Disney Company,DIS,20260109,114.31,115.98,113.9,115.88,8935200
Sound Equity Income ETF,DIVY,20260109,26.96,27.1099,26.96,27.0102,3800
Delek US Holdings,DK,20260109,30.61,30.72,29.475,30.61,1585000
Delek Logistics Partners LP,DKL,20260109,46.75,47.83,46.52,47.77,37300
,DKS,20260109,219.05,222,210,216.19,1518000
Dolby Laboratories,DLB,20260109,63.65,64.4302,63.05,64.35,484000
Dynagas Lng Partners LP [Dlng/Pa],DLN-A,20260109,26.3311,26.3311,26.3311,26.3311,400
Dynagas Lng Partners LP,DLNG,20260109,3.73,3.76,3.67,3.73,28200
,DLNGpA,20260109,26.3311,26.3311,26.3311,26.3311,151
Digital Realty Trust,DLR,20260109,153.77,159.49,153.475,158.55,1956800
Digital Rlty TR Inc [Dlr/Pj],DLR-J,20260109,20.79,20.96,20.79,20.93,13900
Digital Rlty TR Inc [Dlr/Pk],DLR-K,20260109,23.86,23.98,23.86,23.915,5100
Digital Realty Trust Inc 5.20% Prf Perpetual USD,DLR-L,20260109,20.64,20.8,20.53,20.8,40900
,DLRpJ,20260109,20.79,20.96,20.79,20.8967,11590
,DLRpK,20260109,23.86,23.98,23.86,23.915,3349
,DLRpL,20260109,20.64,20.8,20.53,20.8,35925
Deluxe Corp,DLX,20260109,23.22,23.64,22.89,23.47,221500
Doubleline Yield Opportunities Fund,DLY,20260109,14.78,14.78,14.7024,14.76,165000
Destra Multi-Alternative Fund,DMA,20260109,9.03,9.03,8.85,8.99,36900
Dreyfus Municipal Bond Infrastr,DMB,20260109,11.12,11.15,11.02,11.12,37200
Western Asset Mortgage Defined Opp,DMO,20260109,11.07,11.19,11.05,11.15,146700
Ginkgo Bioworks Hldgs Inc,DNA,20260109,9.18,9.44,9.12,9.24,725300
Dnow Inc,DNOW,20260109,13.73,13.97,13.5,13.57,1492100
Duff & Phelps Utilities Income,DNP,20260109,9.89,9.97,9.89,9.97,571700
Healthpeak Properties Inc,DOC,20260109,17.09,17.13,16.71,16.71,7963500
Digitalocean Holdings Inc,DOCN,20260109,52.66,53.69,51.22,53.2,1434900
Doximity Inc Cl A,DOCS,20260109,44.7,45.17,43.51,43.79,2563000
Dole Plc,DOLE,20260109,14.35,14.56,14.3,14.54,480900
Douglas Elliman Inc,DOUG,20260109,2.49,2.64,2.485,2.52,535900
Dover Corp,DOV,20260109,202.89,203.06,200.77,201.89,992400
Dow Inc,DOW,20260109,26.32,26.4897,25.74,26.33,8765000
Duff & Phelps Global Utility,DPG,20260109,12.86,12.98,12.81,12.91,86200
Daqo New Energy ADR,DQ,20260109,26,26.36,25.42,25.58,667200
Drdgold Ltd ADR,DRD,20260109,31.8,32.16,31.17,31.76,224400
Darden Restaurants,DRI,20260109,200.54,203.68,198.7549,202.36,1972300
Strive U.S. Energy ETF,DRLL,20260109,29.62,29.62,29.4246,29.5,16200
Doubleline Income Solutions Fund,DSL,20260109,11.3,11.3231,11.265,11.3,566500
Dreyfus Strategic Muni Bond Fund,DSM,20260109,6.2,6.23,6.18,6.22,44100
ETF Series Distillate Small/Mid Cash Flow ETF,DSMC,20260109,37.14,37.19,36.7664,37.18,8300
Distillate Intl Stability & Value ETF,DSTX,20260109,32.48,32.73,32.48,32.5328,5000
Blackrock Debt Strategies Fund,DSU,20260109,10.28,10.28,10.22,10.25,235100
Diana Shipping Inc,DSX,20260109,1.85,1.9,1.84,1.86,529300
Diana Shipping Inc [Dsx/Pb],DSX-B,20260109,26.12,26.21,26.09,26.11,2400
Diana Shipping Inc WT (Dsx/W),DSX.W,20260109,0.095,0.095,0.085,0.095,8200
,DSX.WS,20260109,0.095,0.095,0.085,0.095,8080
,DSXpB,20260109,26.1,26.21,26.09,26.11,1947
Dynatrace Inc,DT,20260109,42.8,43.1499,42.11,42.28,3407700
Dte Energy Company 2020 Series G 4.375% Junior S,DTB,20260109,17.4,17.4993,17.36,17.45,15600
Dte Energy Company,DTE,20260109,130.44,131.56,129.6,129.89,1174300
Dtf Tax-Free Income 2028 Term Fund Inc,DTF,20260109,11.42,11.44,11.3802,11.4,20100
Dte Energy Company 2021 Sr E,DTG,20260109,17.54,17.5508,17.44,17.5,19800
Dte Energy Company 2025 Series H 6.25%,DTK,20260109,24.79,24.81,24.73,24.79,50800
Dt Midstream Inc,DTM,20260109,118.99,121,117.29,118.36,689100
Dte Energy Company 2017 Series E 5.25% Jr,DTW,20260109,21.38,21.7025,21.375,21.652,42600
Duke Energy Corp,DUK,20260109,117.39,118.26,116.76,116.8,2885000
Duke Energy Corp [Duk/Pa],DUK-A,20260109,25.01,25.0883,25.01,25.01,52300
Duke Energy Corp 5.625%,DUKB,20260109,24.7,24.75,24.59,24.63,37000
,DUKpA,20260109,25.01,25.0883,25.01,25.05,47607
Doubleverify Holdings Inc,DV,20260109,10.92,11.08,10.725,11.07,1732900
Davita Healthcare Partners Inc,DVA,20260109,113,113.505,108.6675,111.45,904600
Devon Energy Corp,DVN,20260109,36.19,36.4,35.66,35.76,5678200
Dynex Capital,DX,20260109,14.07,14.27,13.94,13.98,12469600
Dynex Capital Inc [Dx/Pc],DX-C,20260109,25.66,25.6885,25.65,25.66,18400
Dxc Technology Company,DXC,20260109,15.26,15.475,15.055,15.38,1421200
,DXpC,20260109,25.66,25.6885,25.65,25.66,14123
Destiny Tech100 Inc,DXYZ,20260109,27.44,29.15,27.385,28.76,1450200
Dycom Industries,DY,20260109,341.83,347,338.71,338.81,227000
Eni S.P.A. ADR,E,20260109,37.29,37.47,37.27,37.32,295300
Graftech International Ltd,EAF,20260109,17.3,17.42,16.93,17,182900
Entergy Arkansas Inc,EAI,20260109,21.08,21.12,21.04,21.1,33800
Ellington Credit Company,EARN,20260109,5.42,5.5686,5.41,5.53,480700
Brinker International,EAT,20260109,161.23,161.5,155.59,160.01,818500
Eventbrite Inc,EB,20260109,4.46,4.47,4.46,4.46,544400
Ennis Inc,EBF,20260109,18.11,18.44,18.02,18.43,195200
Emergent Biosolutions,EBS,20260109,13.36,13.53,12.93,12.96,616800
Ecopetrol S.A. ADR,EC,20260109,10.76,10.91,10.7146,10.87,1897900
Blackrock ESG Capital Allocation Trust,ECAT,20260109,15.77,15.8,15.71,15.75,391100
Eagle Point Credit Inc,ECC,20260109,5.85,5.94,5.78,5.9,2112900
Eagle Point Credit Company Inc,ECC-D,20260109,19.88,19.89,19.852,19.89,14600
Eagle Point Credit Company,ECCC,20260109,24.4825,24.615,24.4825,24.59,8600
Eagle Point Credit Company Inc,ECCF,20260109,25.1,25.17,25.08,25.17,12800
,ECCpD,20260109,19.88,19.89,19.852,19.89,13371
Eagle Point Credit Company Inc 7.75%,ECCU,20260109,25.1,25.16,25.1,25.16,6000
Eagle Point Credit Company Inc 5.375% Notes Due,ECCV,20260109,23.51,23.6,23.51,23.6,1900
Eagle Point Credit Company,ECCW,20260109,24.83,24.83,24.83,24.83,300
Eagle Point Credit Company,ECCX,20260109,24.98,25.03,24.94,25.03,1500
Everus Construction Group Inc,ECG,20260109,88.19,89.475,85.12,85.33,996500
Ecolab Inc,ECL,20260109,271.46,273.77,270.03,271.73,750500
Okeanis Eco Tankers Corp,ECO,20260109,37.88,38.2,37.42,38.05,245200
Pq Group Holdings Inc,ECVT,20260109,10.47,10.63,10.45,10.58,1542000
Consolidated Edison Company,ED,20260109,100.17,101,99.2,99.21,1354200
MS Emerging Markets Domestic Debt Fund,EDD,20260109,5.56,5.67,5.56,5.67,561100
Virtus Emerging Markets Income Fund,EDF,20260109,4.92,4.96,4.92,4.94,215900
Empresa Distribuidora Y Comercializadora ADR,EDN,20260109,28.59,29.48,28.28,29.48,39500
New Oriental Education & Technology Group ADR,EDU,20260109,59.06,59.15,57.685,58.68,775700
Excelerate Energy Inc Cl A,EE,20260109,30,30.94,29.98,30.45,312400
European Equity Fund,EEA,20260109,10.55,10.6699,10.52,10.59,20000
Emerald Expositions Events Inc,EEX,20260109,4.88,4.88,4.69,4.76,19600
Ellington Financial Llc,EFC,20260109,13.75,13.9,13.705,13.72,1874200
Ellington Financial Inc Pfd.,EFC-A,20260109,25.22,25.23,25.19,25.2,21200
Ellington Financial Inc 6.250%,EFC-B,20260109,23.66,23.78,23.66,23.77,3500
Ellington Financial Inc 8.625%,EFC-C,20260109,25.35,25.39,25.23,25.23,2300
,EFCpA,20260109,25.22,25.23,25.19,25.2,20941
,EFCpB,20260109,23.66,23.78,23.66,23.77,3360
,EFCpC,20260109,25.35,25.39,25.23,25.23,1782
Eaton Vance Senior Floating-Rate Fund,EFR,20260109,11.24,11.25,11.21,11.23,62500
Eaton Vance Floating Rate Income Trust,EFT,20260109,11.46,11.47,11.37,11.44,113800
Equifax Inc,EFX,20260109,221.23,228.67,217.04,226.96,1510600
Enerflex Ltd,EFXT,20260109,15.16,15.19,14.77,15.01,809500
Everest Re Group,EG,20260109,336.78,339.02,332.375,333.18,288000
Eldorado Gold Corp,EGO,20260109,38.1,38.85,37.94,38.28,1153900
Eastgroup Properties,EGP,20260109,184.97,185.025,183.165,184.06,219400
Vaalco Energy Inc,EGY,20260109,3.65,3.668,3.6,3.65,846700
Enhabit Inc,EHAB,20260109,10.14,10.3199,9.97,9.97,418100
Encompass Health Corp,EHC,20260109,105.38,105.47,102.835,102.93,1437500
Western Asset Global High,EHI,20260109,6.38,6.4024,6.37,6.4,45200
Eagle Point Income Company,EIC,20260109,11.15,11.25,10.97,11.23,220800
Eagle Point Income Inc,EICA,20260109,24.7,24.72,24.7,24.7199,1400
Eagle Point Income Company Inc,EICC,20260109,25.26,25.27,25.231,25.25,27800
Employers Holdings Inc,EIG,20260109,44.25,44.74,44.25,44.28,322000
Eagle Point Institutional Income Fund,EIIA,20260109,25.23,25.26,25.22,25.26,5300
Edison International,EIX,20260109,59.97,61.31,59.92,60.99,2581000
Estee Lauder Companies,EL,20260109,111.22,113.86,111,113.73,3804500
Elanco Animal Health Inc,ELAN,20260109,23.26,23.565,23.12,23.47,2864700
Entergy Louisiana Llc,ELC,20260109,20.64,20.72,20.62,20.68,14700
E.L.F. Beauty Inc,ELF,20260109,87.97,88.1999,83.7349,87.02,1739700
Elme Communities,ELME,20260109,2.8,2.98,2.795,2.95,15380100
Companhia Paranaense DE Energia [Copel] ADR,ELPC,20260109,9.33,9.64,9.32,9.5,287300
Equity Lifestyle Properties,ELS,20260109,61.15,61.41,60.7,60.84,1933600
Elevance Health Inc,ELV,20260109,376.2,378.28,372.35,372.83,887200
Emera Inc,EMA,20260109,48.63,49.32,48.63,48.89,257000
Embraer S.A. ADR,EMBJ,20260109,70.79,71.79,70.5,71.45,660000
Western Asset Emerging Market Debt Fund Inc,EMD,20260109,10.76,10.8966,10.76,10.88,204900
Emcor Group,EME,20260109,631.22,651.9999,630.9,646.27,319500
Templeton Emerging Markets Fund,EMF,20260109,18.11,18.46,18.0101,18.34,132200
Eastman Chemical Company,EMN,20260109,68.61,68.94,67.55,68.76,1365400
Clearbridge Energy MLP Opportu,EMO,20260109,44.63,45.1825,44.52,44.9,50800
Entergy Mississippi Inc 4.9% Bonds,EMP,20260109,20.75,20.7899,20.7133,20.75,12400
Emerson Electric Company,EMR,20260109,143.15,144.72,142.02,144.2,2509400
Enbridge Inc,ENB,20260109,45.35,45.78,45.32,45.63,4211000
Enersis Chile S.A. ADR,ENIC,20260109,4.22,4.29,4.22,4.25,406900
Entergy New Orleans Inc,ENJ,20260109,20.97,20.97,20.97,20.97,500
Entergy New Orleans Incfirst,ENO,20260109,22.28,22.37,22.26,22.37,6500
Enovis Corp,ENOV,20260109,29.1,29.78,28.095,29.68,1143200
Energizer Holdings Inc,ENR,20260109,21.25,21.645,20.9,21.63,923400
Enersys Inc,ENS,20260109,157.29,160.505,156.41,158.29,307500
Enova International Inc,ENVA,20260109,166,166.755,161.04,161.6,170100
Wells Fargo Global Dividend Opportunity,EOD,20260109,5.94,5.99,5.92,5.99,188600
Eog Resources,EOG,20260109,105.93,106.45,104.705,104.92,2502100
Eaton Vance Enhance Equity,EOI,20260109,20.8,20.9058,20.678,20.89,66400
Eaton Vance Enhanced Equity II,EOS,20260109,23.15,23.3316,23.13,23.29,86000
Eaton Vance Muni Income Trust,EOT,20260109,17.29,17.4,17.1641,17.31,13100
El Paso Energy Capital [Ep/Pc],EP-C,20260109,49.16,49.25,49.16,49.25,1900
